year,month,month_name,revenue,profit,orders,units,avg_margin
2023,1,Jan,82367.6,33510.0,79,747,40.32
2023,2,Feb,103865.15,42972.45,77,856,40.15
2023,3,Mar,90007.75,37478.35,77,829,40.81
2023,4,Apr,140619.45,58814.1,82,889,41.08
2023,5,May,135303.9,53378.1,96,972,40.26
2023,6,Jun,118879.25,48609.05,78,887,40.72
2023,7,Jul,139015.05,54294.15,93,1068,40.51
2023,8,Aug,134697.5,53175.4,75,709,39.88
2023,9,Sep,128083.4,50772.65,78,930,39.87
2023,10,Oct,191558.6,78296.55,70,761,40.82
2023,11,Nov,123364.55,47000.9,81,877,39.89
2023,12,Dec,85756.5,34833.1,77,819,40.47
2024,1,Jan,140713.9,55950.1,88,877,40.16
2024,2,Feb,154614.9,63371.0,91,803,40.67
2024,3,Mar,133517.55,54251.0,90,944,39.71
2024,4,Apr,100910.7,41973.25,78,798,40.37
2024,5,May,148596.25,61470.2,98,1032,40.38
2024,6,Jun,86569.0,34908.6,66,744,39.66
2024,7,Jul,183408.85,74218.45,93,983,39.2
2024,8,Aug,202343.8,83073.55,93,998,40.23
2024,9,Sep,148590.3,56558.8,78,783,40.84
2024,10,Oct,108243.85,44288.2,86,939,40.21
2024,11,Nov,117045.55,47579.45,82,992,40.88
2024,12,Dec,134954.05,55793.65,94,966,40.26
