order_id,date,region,channel,sales_rep,category,product,quantity,unit_price,discount,revenue,cost,profit,year,quarter,month,month_name,week,day_of_week,margin_pct,rev_band,is_2024
ORD-00611,2023-01-01,South,Online,Eva Patel,Electronics,Smart Watch,8,211.65,0.15,1693.2,1095.6,597.6,2023,1,1,Jan,52,Sunday,35.29,$500-$2k,0
ORD-01247,2023-01-01,South,Partner,Alice Morgan,Food & Beverage,Protein Bars 12Pk,14,23.8,0.15,333.2,215.6,117.6,2023,1,1,Jan,52,Sunday,35.29,$100-$500,0
ORD-01615,2023-01-01,East,Online,Alice Morgan,Apparel,Denim Jeans,16,52.0,0.2,832.0,572.0,260.0,2023,1,1,Jan,52,Sunday,31.25,$500-$2k,0
ORD-01965,2023-01-01,North,Online,Alice Morgan,Apparel,Running Jacket,20,85.0,0.0,1700.0,935.0,765.0,2023,1,1,Jan,52,Sunday,45.0,$500-$2k,0
ORD-00443,2023-01-02,Central,Wholesale,Alice Morgan,Home & Garden,Air Purifier,6,169.15,0.15,1014.9,656.7,358.2,2023,1,1,Jan,1,Monday,35.29,$500-$2k,0
ORD-00749,2023-01-02,North,Online,Henry Osei,Food & Beverage,Protein Bars 12Pk,10,28.0,0.0,280.0,154.0,126.0,2023,1,1,Jan,1,Monday,45.0,$100-$500,0
ORD-01224,2023-01-02,East,Online,David Kim,Apparel,Yoga Set,13,49.5,0.1,643.5,393.25,250.25,2023,1,1,Jan,1,Monday,38.89,$500-$2k,0
ORD-01376,2023-01-04,West,In-Store,Henry Osei,Electronics,4K Monitor,9,539.1,0.1,4851.9,2965.05,1886.85,2023,1,1,Jan,1,Wednesday,38.89,>$2k,0
ORD-00737,2023-01-04,Central,Partner,Alice Morgan,Apparel,Running Jacket,5,85.0,0.0,425.0,233.75,191.25,2023,1,1,Jan,1,Wednesday,45.0,$100-$500,0
ORD-00288,2023-01-04,South,Online,Alice Morgan,Home & Garden,Robot Vacuum,13,299.0,0.0,3887.0,2137.85,1749.15,2023,1,1,Jan,1,Wednesday,45.0,>$2k,0
ORD-01303,2023-01-04,South,In-Store,Alice Morgan,Food & Beverage,Green Tea Set,7,18.0,0.0,126.0,69.3,56.7,2023,1,1,Jan,1,Wednesday,45.0,$100-$500,0
ORD-00499,2023-01-05,South,In-Store,Frank Russo,Home & Garden,Air Purifier,1,169.15,0.15,169.15,109.45,59.7,2023,1,1,Jan,1,Thursday,35.29,$100-$500,0
ORD-00600,2023-01-06,North,Online,Alice Morgan,Home & Garden,Led Strip Kit,9,35.0,0.0,315.0,173.25,141.75,2023,1,1,Jan,1,Friday,45.0,$100-$500,0
ORD-00996,2023-01-06,East,Online,Henry Osei,Sports,Gym Bag,20,59.5,0.15,1190.0,770.0,420.0,2023,1,1,Jan,1,Friday,35.29,$500-$2k,0
ORD-00738,2023-01-06,Central,Wholesale,David Kim,Sports,Protein Shaker,16,16.2,0.1,259.2,158.4,100.8,2023,1,1,Jan,1,Friday,38.89,$100-$500,0
ORD-01273,2023-01-07,Central,Wholesale,Frank Russo,Food & Beverage,Olive Oil 1L,2,16.0,0.0,32.0,17.6,14.4,2023,1,1,Jan,1,Saturday,45.0,<$100,0
ORD-00839,2023-01-08,South,Online,Eva Patel,Electronics,4K Monitor,3,599.0,0.0,1797.0,988.35,808.65,2023,1,1,Jan,1,Sunday,45.0,$500-$2k,0
ORD-01956,2023-01-08,East,Online,Frank Russo,Apparel,Denim Jeans,19,61.75,0.05,1173.25,679.25,494.0,2023,1,1,Jan,1,Sunday,42.11,$500-$2k,0
ORD-01762,2023-01-08,West,Wholesale,Grace Lee,Home & Garden,Robot Vacuum,15,299.0,0.0,4485.0,2466.75,2018.25,2023,1,1,Jan,1,Sunday,45.0,>$2k,0
ORD-01018,2023-01-09,North,Wholesale,Grace Lee,Home & Garden,Led Strip Kit,2,35.0,0.0,70.0,38.5,31.5,2023,1,1,Jan,2,Monday,45.0,<$100,0
ORD-00627,2023-01-09,North,In-Store,Grace Lee,Food & Beverage,Olive Oil 1L,11,13.6,0.15,149.6,96.8,52.8,2023,1,1,Jan,2,Monday,35.29,$100-$500,0
ORD-00964,2023-01-09,West,Partner,Eva Patel,Food & Beverage,Protein Bars 12Pk,15,26.6,0.05,399.0,231.0,168.0,2023,1,1,Jan,2,Monday,42.11,$100-$500,0
